label|duration|id|label_raw|is_last_word|is_pause_after|pause_duration|set
с|0.11|000000_RUSLAN|С|0|0|0.0|test
тревожным|0.58|000000_RUSLAN|тревожным|0|0|0.0|test
чувством|0.6200000000000001|000000_RUSLAN|чувством|0|0|0.0|test
берусь|0.3899999999999999|000000_RUSLAN|берусь|0|0|0.0|test
я|0.09000000000000008|000000_RUSLAN|я|0|0|0.0|test
за|0.1299999999999999|000000_RUSLAN|за|0|0|0.0|test
перо|0.29000000000000004|000000_RUSLAN|перо.|1|1|0.03476200000000018|test
кого|0.43|000001_RUSLAN|Кого|0|1|0.030000000000000027|train
интересуют|0.69|000001_RUSLAN|интересуют|0|0|0.0|train
признания|0.5800000000000001|000001_RUSLAN|признания|0|0|0.0|train
литературного|0.73|000001_RUSLAN|литературного|0|0|0.0|train
неудачника|0.73|000001_RUSLAN|неудачника?|1|1|0.029908999999999963|train
что|0.33|000002_RUSLAN|Что|0|0|0.0|train
поучительного|0.96|000002_RUSLAN|поучительного|0|0|0.0|train
в|0.040000000000000036|000002_RUSLAN|в|0|0|0.0|train
его|0.43999999999999995|000002_RUSLAN|его|0|1|0.030000000000000027|train
исповеди|0.4999999999999998|000002_RUSLAN|исповеди?|1|1|0.03478500000000029|train
да|0.07|000003_RUSLAN|Да|0|0|0.0|train
и|0.13|000003_RUSLAN|и|0|0|0.0|train
жизнь|0.35000000000000003|000003_RUSLAN|жизнь|0|0|0.0|train
моя|0.35|000003_RUSLAN|моя|0|0|0.0|train
лишена|0.4899999999999999|000003_RUSLAN|лишена|0|0|0.0|train
внешнего|0.52|000003_RUSLAN|внешнего|0|0|0.0|train
трагизма|0.5845119999999999|000003_RUSLAN|трагизма.|1|0|0.0|train
я|0.22|000004_RUSLAN|Я|0|0|0.0|train
абсолютно|0.79|000004_RUSLAN|абсолютно|0|0|0.0|train
здоров|0.3899999999999999|000004_RUSLAN|здоров.|1|1|0.028571000000000124|train
у|0.04|000005_RUSLAN|У|0|0|0.0|test
меня|0.4|000005_RUSLAN|меня|0|0|0.0|test
есть|0.52|000005_RUSLAN|есть|0|0|0.0|test
любящая|0.5700000000000001|000005_RUSLAN|любящая|0|0|0.0|test
родня|0.399116|000005_RUSLAN|родня.|1|0|0.0|test
мне|0.28|000006_RUSLAN|Мне|0|0|0.0|train
всегда|0.44999999999999996|000006_RUSLAN|всегда|0|0|0.0|train
готовы|0.42999999999999994|000006_RUSLAN|готовы|0|0|0.0|train
предоставить|0.72|000006_RUSLAN|предоставить|0|0|0.0|train
работу|0.56|000006_RUSLAN|работу,|0|1|0.31000000000000005|train
которая|0.45999999999999996|000006_RUSLAN|которая|0|0|0.0|train
обеспечит|0.5899999999999999|000006_RUSLAN|обеспечит|0|0|0.0|train
нормальное|0.6900000000000004|000006_RUSLAN|нормальное|0|1|0.02999999999999936|train
биологическое|0.9500000000000002|000006_RUSLAN|биологическое|0|0|0.0|train
существование|0.985646|000006_RUSLAN|существование.|1|0|0.0|train
мало|0.42|000007_RUSLAN|Мало|0|0|0.0|train
того|0.32|000007_RUSLAN|того,|0|1|0.10999999999999999|train
я|0.21000000000000008|000007_RUSLAN|я|0|0|0.0|train
обладаю|0.5999999999999999|000007_RUSLAN|обладаю|0|0|0.0|train
преимуществами|0.9029480000000001|000007_RUSLAN|преимуществами.|1|0|0.0|train
мне|0.22|000008_RUSLAN|Мне|0|0|0.0|train
без|0.18000000000000002|000008_RUSLAN|без|0|0|0.0|train
труда|0.38|000008_RUSLAN|труда|0|0|0.0|train
удаётся|0.55|000008_RUSLAN|удаётся|0|0|0.0|train
располагать|0.5799999999999998|000008_RUSLAN|располагать|0|0|0.0|train
к|0.040000000000000036|000008_RUSLAN|к|0|0|0.0|train
себе|0.29000000000000026|000008_RUSLAN|себе|0|0|0.0|train
людей|0.36999999999999966|000008_RUSLAN|людей.|1|1|0.026145000000000085|train
я|0.16|000009_RUSLAN|Я|0|0|0.0|train
совершил|0.47|000009_RUSLAN|совершил|0|0|0.0|train
десятки|0.4800000000000001|000009_RUSLAN|десятки|0|0|0.0|train
поступков|0.73|000009_RUSLAN|поступков,|0|1|0.04999999999999982|train
уголовно|0.6199999999999999|000009_RUSLAN|уголовно|0|0|0.0|train
наказуемых|0.6300000000000003|000009_RUSLAN|наказуемых|0|1|0.11999999999999966|train
и|0.1200000000000001|000009_RUSLAN|и|0|0|0.0|train
оставшихся|0.7300000000000004|000009_RUSLAN|оставшихся|0|0|0.0|train
безнаказанными|0.8099999999999996|000009_RUSLAN|безнаказанными.|1|1|0.025760000000000005|train
я|0.15|000010_RUSLAN|Я|0|0|0.0|test
дважды|0.41000000000000003|000010_RUSLAN|дважды|0|0|0.0|test
был|0.18999999999999995|000010_RUSLAN|был|0|0|0.0|test
женат|0.52|000010_RUSLAN|женат,|0|1|0.1399999999999999|test
и|0.14000000000000012|000010_RUSLAN|и|0|0|0.0|test
оба|0.25|000010_RUSLAN|оба|0|0|0.0|test
раза|0.26|000010_RUSLAN|раза|0|0|0.0|test
счастливо|0.5|000010_RUSLAN|счастливо.|1|1|0.028661999999999743|test
наконец|0.58|000011_RUSLAN|Наконец,|0|1|0.030000000000000027|train
у|0.06000000000000005|000011_RUSLAN|у|0|0|0.0|train
меня|0.20999999999999996|000011_RUSLAN|меня|0|0|0.0|train
есть|0.42000000000000004|000011_RUSLAN|есть|0|1|0.030000000000000027|train
собака|0.5206579999999998|000011_RUSLAN|собака.|1|0|0.0|train
а|0.07|000012_RUSLAN|А|0|0|0.0|train
это|0.38|000012_RUSLAN|это|0|1|0.02999999999999997|train
уже|0.33999999999999997|000012_RUSLAN|уже|0|0|0.0|train
излишество|0.57|000012_RUSLAN|излишество.|1|1|0.03235800000000011|train
тогда|0.28|000013_RUSLAN|Тогда|0|0|0.0|train
